loan_id,account_id,amount,duration,payments,status,Date
5314,1787,96396,12,8033,Loan not payed,2016-07-05
5316,1801,165960,36,4610,Contract Finished,2016-07-11
6863,9188,127080,60,2118,Contract Finished,2016-07-28
5325,1843,105804,36,2939,Contract Finished,2016-08-03
7240,11013,274740,60,4579,Contract Finished,2016-09-06
6687,8261,87840,24,3660,Contract Finished,2016-09-13
7284,11265,52788,12,4399,Contract Finished,2016-09-15
6111,5428,174744,24,7281,Loan not payed,2016-09-24
7235,10973,154416,48,3217,Contract Finished,2016-10-13
5997,4894,117024,24,4876,Contract Finished,2016-11-04
7121,10364,21924,36,609,Contract Finished,2016-11-10
6077,5270,79608,24,3317,Contract Finished,2016-11-22
6228,6034,464520,60,7742,Loan not payed,2016-12-01
6356,6701,95400,36,2650,Contract Finished,2016-12-08
5523,2705,93888,36,2608,Contract Finished,2016-12-08
6456,7123,47016,12,3918,Contract Finished,2016-12-09
7104,10320,259740,60,4329,Contract Finished,2016-12-13
6820,9034,38148,12,3179,Contract Finished,2016-12-16
6876,9236,86616,12,7218,Contract Finished,2016-12-21
7097,10266,75624,24,3151,Loan not payed,2016-12-23
4959,2,80952,24,3373,Contract Finished,2017-01-05
6499,7401,80952,24,3373,Contract Finished,2017-01-05
5479,2486,24516,12,2043,Contract Finished,2017-01-10
5170,1071,253200,60,4220,Running Contract,2017-01-20
6721,8475,21072,24,878,Contract Finished,2017-01-21
7259,11111,108144,36,3004,Contract Finished,2017-01-31
5285,1603,78936,12,6578,Contract Finished,2017-02-06
5189,1166,149040,48,3105,Contract Finished,2017-02-07
6650,8073,49320,12,4110,Loan not payed,2017-02-17
7226,10940,197748,36,5493,Contract Finished,2017-02-23
6087,5313,300660,60,5011,Running Contract,2017-02-27
7262,11135,182628,36,5073,Contract Finished,2017-03-01
5519,2694,91632,12,7636,Contract Finished,2017-03-08
6577,7753,51696,24,2154,Contract Finished,2017-03-11
6509,7445,55368,24,2307,Contract Finished,2017-03-15
6520,7485,91200,24,3800,Contract Finished,2017-03-16
6699,8330,7656,24,319,Contract Finished,2017-03-30
6336,6555,212400,36,5900,Contract Finished,2017-03-31
7055,10079,167100,60,2785,Running Contract,2017-04-06
6103,5385,149340,60,2489,Running Contract,2017-04-07
6202,5891,65184,12,5432,Contract Finished,2017-04-18
7066,10131,215388,36,5983,Loan not payed,2017-05-02
6696,8321,89040,60,1484,Running Contract,2017-05-09
6072,5256,193968,36,5388,Contract Finished,2017-05-10
5130,813,24312,12,2026,Contract Finished,2017-05-11
5568,2933,272520,60,4542,Running Contract,2017-05-17
6678,8173,80340,12,6695,Contract Finished,2017-05-20
6998,9833,97632,12,8136,Contract Finished,2017-05-21
6580,7769,196080,48,4085,Contract Finished,2017-05-22
6316,6473,76908,12,6409,Loan not payed,2017-05-26
6512,7454,63312,48,1319,Contract Finished,2017-05-26
6407,6930,25944,24,1081,Contract Finished,2017-05-26
5002,173,104808,12,8734,Contract Finished,2017-05-31
6647,8051,208320,48,4340,Contract Finished,2017-06-01
7137,10439,151560,24,6315,Contract Finished,2017-06-03
6903,9337,52128,24,2172,Contract Finished,2017-06-04
5918,4576,300204,36,8339,Contract Finished,2017-06-04
6642,8027,77640,12,6470,Contract Finished,2017-06-05
6210,5927,87216,48,1817,Loan not payed,2017-06-06
6279,6273,87360,24,3640,Contract Finished,2017-06-07
7249,11065,69360,48,1445,Contract Finished,2017-06-12
6736,8558,288360,60,4806,Running Contract,2017-06-14
6112,5442,174744,24,7281,Loan not payed,2017-06-17
5319,1811,239460,60,3991,Running Contract,2017-06-23
6596,7844,91584,24,3816,Contract Finished,2017-06-25
5837,4260,244560,60,4076,Running Contract,2017-06-29
5657,3354,4980,12,415,Contract Finished,2017-07-05
5533,2762,111384,24,4641,Contract Finished,2017-07-05
6232,6051,276660,36,7685,Loan not payed,2017-07-08
6888,9265,39576,12,3298,Contract Finished,2017-07-11
6066,5228,173808,24,7242,Contract Finished,2017-07-11
5549,2824,50460,60,841,Running Contract,2017-07-16
5060,426,252060,60,4201,Client in debt,2017-07-19
6004,4937,143904,24,5996,Contract Finished,2017-07-23
5126,790,208128,48,4336,Loan not payed,2017-07-24
7220,10911,131292,36,3647,Contract Finished,2017-07-28
6668,8129,74736,36,2076,Contract Finished,2017-07-30
5395,2176,299088,36,8308,Loan not payed,2017-07-30
6836,9093,189300,60,3155,Running Contract,2017-08-03
6064,5215,14628,12,1219,Contract Finished,2017-08-04
6919,9403,120888,36,3358,Contract Finished,2017-08-05
6841,9104,172080,48,3585,Contract Finished,2017-08-07
6038,5120,323472,48,6739,Contract Finished,2017-08-10
6729,8519,74688,12,6224,Contract Finished,2017-08-11
7198,10788,45768,12,3814,Contract Finished,2017-08-23
6686,8260,224604,36,6239,Contract Finished,2017-08-25
5836,4259,79632,24,3318,Contract Finished,2017-08-27
7061,10105,121896,24,5079,Contract Finished,2017-08-27
5595,3050,82896,12,6908,Contract Finished,2017-09-02
5723,3674,23628,12,1969,Contract Finished,2017-09-10
6120,5481,209184,48,4358,Contract Finished,2017-09-11
6895,9307,41904,12,3492,Contract Finished,2017-09-19
5882,4427,87816,12,7318,Contract Finished,2017-09-26
5754,3834,23052,12,1921,Contract Finished,2017-09-28
6594,7824,189696,24,7904,Loan not payed,2017-09-28
6738,8566,230220,36,6395,Loan not payed,2017-09-29
6624,7965,71460,12,5955,Contract Finished,2017-09-30
6216,5952,141240,24,5885,Contract Finished,2017-09-30
6229,6040,11736,24,489,Contract Finished,2017-10-02
5887,4448,192744,36,5354,Contract Finished,2017-10-03
6808,8982,227880,36,6330,Contract Finished,2017-10-12
6297,6363,17508,12,1459,Contract Finished,2017-10-25
5161,1012,98184,24,4091,Contract Finished,2017-10-28
5390,2167,170256,24,7094,Contract Finished,2017-10-30
6150,5622,83016,12,6918,Contract Finished,2017-11-02
6223,5991,61056,48,1272,Contract Finished,2017-11-03
5032,290,123696,48,2577,Contract Finished,2017-11-03
6253,6148,59760,24,2490,Contract Finished,2017-11-04
6460,7133,48672,36,1352,Contract Finished,2017-11-06
6645,8041,140400,36,3900,Contract Finished,2017-11-06
5176,1106,192552,24,8023,Loan not payed,2017-11-12
5269,1527,164052,36,4557,Loan not payed,2017-11-19
5351,1978,205200,36,5700,Contract Finished,2017-12-04
5861,4337,51408,24,2142,Contract Finished,2017-12-08
5450,2345,199680,60,3328,Running Contract,2017-12-11
7142,10451,482940,60,8049,Client in debt,2017-12-19
6306,6425,36684,12,3057,Contract Finished,2017-12-20
6272,6226,398640,60,6644,Running Contract,2017-12-20
5044,344,100980,60,1683,Running Contract,2017-12-21
5576,2962,31248,12,2604,Contract Finished,2017-12-21
7192,10738,115992,36,3222,Contract Finished,2017-12-21
5739,3747,76380,12,6365,Contract Finished,2018-01-02
6526,7523,288468,36,8013,Contract Finished,2018-01-03
5624,3166,177744,48,3703,Client in debt,2018-01-03
6244,6118,270648,36,7518,Loan not payed,2018-01-08
5131,816,48624,24,2026,Contract Finished,2018-01-08
6960,9640,76416,24,3184,Contract Finished,2018-01-11
6358,6715,137880,60,2298,Client in debt,2018-01-14
5418,2245,347952,48,7249,Running Contract,2018-01-16
6598,7857,68112,12,5676,Contract Finished,2018-01-18
5464,2419,95808,12,7984,Contract Finished,2018-01-30
6591,7819,20832,48,434,Running Contract,2018-02-02
5724,3678,316140,60,5269,Client in debt,2018-02-05
6315,6472,43164,12,3597,Contract Finished,2018-02-06
5876,4413,221280,48,4610,Running Contract,2018-02-08
6986,9750,151728,48,3161,Client in debt,2018-02-11
6294,6353,79920,60,1332,Running Contract,2018-02-12
5132,817,538500,60,8975,Running Contract,2018-02-17
5877,4414,97224,24,4051,Contract Finished,2018-02-23
6227,6030,28248,24,1177,Contract Finished,2018-03-04
7241,11021,168984,24,7041,Loan not payed,2018-03-04
6737,8564,76680,24,3195,Contract Finished,2018-03-11
7004,9869,331560,60,5526,Running Contract,2018-03-15
6169,5700,103680,60,1728,Client in debt,2018-03-16
5208,1247,99696,48,2077,Client in debt,2018-03-16
6694,8316,134784,24,5616,Contract Finished,2018-03-19
5599,3064,15420,12,1285,Contract Finished,2018-03-21
6546,7607,31728,24,1322,Contract Finished,2018-03-27
5414,2228,185952,48,3874,Running Contract,2018-03-29
5453,2361,156672,36,4352,Contract Finished,2018-04-01
5740,3752,18564,12,1547,Contract Finished,2018-04-02
5804,4079,158976,48,3312,Running Contract,2018-04-05
6745,8625,47304,24,1971,Contract Finished,2018-04-10
6950,9591,104712,24,4363,Contract Finished,2018-04-11
6996,9828,126600,24,5275,Contract Finished,2018-04-13
5352,1993,68400,12,5700,Loan not payed,2018-04-15
6151,5628,225420,60,3757,Running Contract,2018-04-25
5310,1762,248148,36,6893,Contract Finished,2018-04-28
5045,347,187224,24,7801,Loan not payed,2018-05-01
6929,9472,36396,12,3033,Contract Finished,2018-05-08
5151,960,189060,60,3151,Running Contract,2018-05-24
5212,1256,71064,36,1974,Contract Finished,2018-05-29
5138,854,87216,48,1817,Running Contract,2018-05-30
5713,3629,158760,60,2646,Running Contract,2018-05-30
6704,8377,417060,60,6951,Running Contract,2018-06-01
6474,7190,63360,60,1056,Running Contract,2018-06-06
6676,8159,29784,24,1241,Contract Finished,2018-06-13
6965,9656,139536,24,5814,Contract Finished,2018-06-13
6725,8489,265320,36,7370,Contract Finished,2018-06-23
7166,10630,198240,24,8260,Contract Finished,2018-06-24
7138,10440,60000,60,1000,Running Contract,2018-07-03
5970,4774,465072,48,9689,Running Contract,2018-07-09
6157,5650,98592,24,4108,Contract Finished,2018-07-10
6153,5632,285600,60,4760,Running Contract,2018-07-25
5693,3489,44088,24,1837,Contract Finished,2018-08-01
5922,4580,20220,12,1685,Contract Finished,2018-08-05
5959,4727,107640,24,4485,Contract Finished,2018-08-11
5980,4825,21396,12,1783,Contract Finished,2018-08-18
6764,8776,33984,48,708,Running Contract,2018-08-26
5237,1375,45336,24,1889,Contract Finished,2018-08-29
6726,8492,85860,60,1431,Running Contract,2018-09-03
6933,9493,188688,48,3931,Running Contract,2018-09-09
5145,915,309552,48,6449,Running Contract,2018-09-16
7008,9897,36168,12,3014,Contract Finished,2018-09-22
7227,10942,314520,60,5242,Running Contract,2018-10-02
6600,7861,21852,36,607,Contract Finished,2018-10-08
6712,8405,266220,60,4437,Running Contract,2018-10-14
7057,10093,231696,36,6436,Contract Finished,2018-10-20
7176,10663,260028,36,7223,Contract Finished,2018-10-28
7304,11349,419880,60,6998,Running Contract,2018-10-29
6362,6738,37908,12,3159,Contract Finished,2018-10-31
5880,4423,73836,36,2051,Contract Finished,2018-10-31
6535,7546,41952,12,3496,Contract Finished,2018-11-02
5449,2343,99336,24,4139,Contract Finished,2018-11-04
6342,6609,60156,36,1671,Loan not payed,2018-11-12
5409,2218,182040,60,3034,Running Contract,2018-11-18
6955,9627,244368,48,5091,Running Contract,2018-11-22
6985,9731,113796,36,3161,Contract Finished,2018-11-22
5125,789,73056,48,1522,Running Contract,2018-11-23
5805,4081,137904,24,5746,Loan not payed,2018-11-28
6185,5774,31176,24,1299,Contract Finished,2018-11-28
7243,11042,217152,36,6032,Contract Finished,2018-12-04
6403,6924,194880,48,4060,Running Contract,2018-12-05
6578,7765,27984,12,2332,Contract Finished,2018-12-11
5413,2227,92976,24,3874,Contract Finished,2018-12-12
6949,9583,104712,24,4363,Contract Finished,2018-12-12
6545,7606,191880,60,3198,Running Contract,2018-12-12
6178,5742,232560,48,4845,Running Contract,2018-12-16
5160,1011,204000,60,3400,Running Contract,2018-12-18
6785,8899,125340,60,2089,Running Contract,2018-12-25
6540,7562,309600,48,6450,Running Contract,2018-12-31
6589,7815,189696,24,7904,Contract Finished,2019-01-01
5900,4503,135360,48,2820,Running Contract,2019-01-01
5999,4907,98832,48,2059,Running Contract,2019-01-03
6043,5126,20352,48,424,Running Contract,2019-01-11
5482,2496,165120,60,2752,Running Contract,2019-01-12
7263,11138,89880,24,3745,Contract Finished,2019-01-19
6013,4995,128988,36,3583,Client in debt,2019-02-03
5750,3804,63252,12,5271,Contract Finished,2019-02-08
6027,5066,61656,24,2569,Loan not payed,2019-02-10
6303,6400,72408,24,3017,Loan not payed,2019-02-12
7213,10884,113544,36,3154,Running Contract,2019-02-13
6659,8092,56100,60,935,Running Contract,2019-02-20
6175,5735,290700,60,4845,Client in debt,2019-02-21
5610,3112,123216,48,2567,Running Contract,2019-02-24
5563,2912,380160,60,6336,Running Contract,2019-03-01
5989,4852,213300,36,5925,Running Contract,2019-03-04
6698,8327,247728,48,5161,Running Contract,2019-03-10
5312,1772,202788,36,5633,Running Contract,2019-03-13
7189,10728,154656,48,3222,Running Contract,2019-03-21
6816,9017,100224,48,2088,Client in debt,2019-03-26
6137,5574,44628,12,3719,Contract Finished,2019-04-10
5128,808,215616,48,4492,Client in debt,2019-04-11
5470,2456,200976,48,4187,Running Contract,2019-04-15
5593,3037,277884,36,7719,Client in debt,2019-04-18
5350,1967,249312,48,5194,Running Contract,2019-04-21
6063,5213,320976,48,6687,Client in debt,2019-04-25
6501,7418,30276,12,2523,Loan not payed,2019-04-29
5452,2352,49440,60,824,Running Contract,2019-04-29
4961,19,30276,12,2523,Loan not payed,2019-04-29
4973,67,165960,24,6915,Contract Finished,2019-05-02
6190,5794,123600,60,2060,Running Contract,2019-05-06
6715,8411,220620,60,3677,Running Contract,2019-05-06
5892,4462,66480,24,2770,Loan not payed,2019-05-14
6550,7614,320592,48,6679,Running Contract,2019-05-18
5706,3608,161496,36,4486,Running Contract,2019-05-24
5148,940,284280,60,4738,Running Contract,2019-05-29
6734,8547,173016,36,4806,Running Contract,2019-05-30
6109,5422,368880,60,6148,Running Contract,2019-06-03
6961,9645,176148,36,4893,Running Contract,2019-06-06
6810,9006,186384,48,3883,Running Contract,2019-06-08
5494,2572,360000,48,7500,Running Contract,2019-06-13
5311,1766,30060,60,501,Running Contract,2019-06-15
5445,2322,46320,24,1930,Contract Finished,2019-06-29
